,name,Fate,Founded,HeadQuarters,Type,TotalEmployees,CurStatus,Defunct
0,Albertsons,,1939; 77 years ago (1939),"Boise, Idaho, U.S.",Private,"265,000 (2015)[3]",,
0,UC San Francisco,,,,Public,,,
0,Public Storage,,1972 (1972),"Glendale, California, US",Public,"5,300 (2015)[1]",,
0,Jewel-Osco,,"1899 (Chicago, Illinois, U.S.)","Itasca, Illinois, U.S.",Subsidiary,,,
0,U-Haul,,1945; 71 years ago (1945),"Phoenix, Arizona,
United States",Subsidiary,"18,000",,
0,Fred Meyer,,,"Portland, Oregon",Subsidiary,,,
0,InterContinental Hotels Group,,2003 April 15 (origins trace back to 1777),"Denham, Buckinghamshire, United Kingdom",Public,"7,311 (2015)[2]",,
0,US Foods,,1989,"Rosemont, Illinois, United States",Public,"25,000",,
0,GoDaddy,,1997,"Scottsdale, Arizona, United States",Public,"4,100 (2014) [2]",,
0,Geek Squad,,"June 16, 1994; 22 years ago (1994-06-16)","Richfield, Minnesota, U.S.",Subsidiary,"24,000+",,
0,Space Exploration Technologies,,June 2002; 14 years ago (2002-06),"Hawthorne, California, U.S.
33°55′15″N 118°19′40″W﻿ / ﻿33.9207°N 118.3278°W﻿ / 33.9207; -118.3278Coordinates: 33°55′15″N 118°19′40″W﻿ / ﻿33.9207°N 118.3278°W﻿ / 33.9207; -118.3278",Private,"""nearly 5,000""[1][2](February 2016)",,
0,Slalom Consulting,,2001,"Seattle, Washington, U.S.
Offices in Atlanta, Boston, Chicago, Dallas, Denver, Hartford, Houston, London (UK), Minneapolis, New York City, Phoenix, Portland, San Francisco, Seattle, Silicon Valley, Southern California, Toronto",LLC,2500-5000,,
0,QuikTrip,,"September 25, 1958","Tulsa, Oklahoma",Private,"19,920",,
0,Washington University in St. Louis,,,,Private,,,
0,UTC Aerospace Systems,,2012,"Charlotte, North Carolina, United States",Subsidiary,,,
0,Claire's Stores,,1961,"Hoffman Estates, Illinois, U.S.",,"17,600 (January 2009)",,
0,Memorial Sloan Kettering,,1884[1] (as New York Cancer Hospital),,,,,
0,GE Aviation,,1917[1],"Evendale, Ohio, United States[2]",Subsidiary,"26,800 (2007)[5]",,
0,Kimberly-Clark,,"Neenah, Wisconsin
(1872; 144 years ago (1872))","Irving, Texas, United States",Public,"43,000 (December 2014)",,
0,Covidien,Merged with Medtronic,2007,"Dublin, Ireland",,"39,000 (2014)",,2015
0,L'Oréal,,1909; 107 years ago (1909),"41, rue Martre, 92110 Clichy, France",Société Anonyme,"78,600 (2014)[2]",,
0,Parker Hannifin,,"1918, Cleveland, Ohio, USA","Mayfield Heights, Ohio, United States",Public,"57,447",,
0,West Corporation,,,"Omaha, Nebraska, USA",Public,"26,430 (2013) [3]",,
0,Carnegie Mellon University,,,,Private university,,,
0,Micron Technology,,"May 22, 1978; 38 years ago (May 22, 1978)","Boise, Idaho, United States.","Public
S&P 500 Component
NASDAQ-100 Component","30,000+ (2014)",,
0,Georgia-Pacific,,"Augusta, Georgia, U.S. (1927 (1927))","Atlanta, Georgia, U.S.",Subsidiary of Koch Industries,"40,000 (4Q 2010)",,
0,University of Illinois at Chicago,,,,"Public, Research, HSI",,,
0,TD Ameritrade,,"Omaha, Nebraska (1971)","Omaha, Nebraska, United States",Public company,"5,700 [1]",,
0,Michigan State University,,,,"


Flagship
Public
Land grant
Sea grant


",,,
0,Wachovia,Acquired by Wells Fargo,"June 16, 1879; 137 years ago (1879-06-16)","Charlotte, North Carolina",,,,"2008 (as an independent corporation)
2011 (as a brand)"
0,New York & Company,,1918,"330 West 34th Street
New York, New York",Public,,,
0,Universal Protection Service,,1965,"Santa Ana, California, United States",Private,,,
0,CH2M,,"Corvallis, Oregon (1946)
(as Cornell, Howland, Hayes, and Merryfield)","Meridian, Colorado, United States",Employee owned corporation[1],"26,000 (2013)[3]",,
0,Talbots,,"Hingham, Massachusetts (1947)","Hingham, Massachusetts, United States",Private,"9,000+",,
0,Chuck E. Cheese's,,"San Jose, California, United States (1977; 39 years ago (1977)) (Pizza Time Theatre, Inc.-Chapter 11 bankruptcy in 1984),[2] Kansas City, Missouri, U.S. (1980; 36 years ago (1980)) (ShowBiz Pizza Place, Inc.-bought Pizza Time Theatre Inc. in 1984, combined name to Showbiz Pizza Time Inc.) (Named Changed to CEC Entertainment in 1998)","Irving, Texas, United States[1]",Privately held company,,,
0,J.B. Hunt,,1961,"Lowell, Arkansas",Public[1],"19,324",,
0,Leidos,,"La Jolla, California (1969 (1969))
McLean, Virginia","Reston, Virginia, U.S.",Public,"19,000 [2]",,
0,Ecolab,,1923 (1923),"St. Paul, Minnesota, United States","Public
S&P 500 Component","47,000 (2014)",,
0,Navistar,,1902 (1902),"Lisle, Illinois, United States",Public,"16,500",,
0,TruGreen,,"Downers Grove, Illinois, USA 1929, incorporated 1947","Memphis, Tennessee, USA",Public,"13,000 (2015)",,
0,Fry's Electronics,,1985; 31 years ago (1985),"San Jose, California, U.S.",Private,"13,999 (2011)[1]",,
0,MAC Cosmetics,,"Toronto, Ontario, Canada (1984)","New York City, New York, United States",Subsidiary,,,
0,Union Pacific,,"Omaha, Nebraska, United States (1862 (1862))","Omaha, Nebraska, United States",Public,"42,884 (2010)[11]",,
0,North Carolina State University,,,,"Public
Land-grant
Sea-grant
Space-grant",,,
0,Nationstar Mortgage,,1994,"Dallas, Texas, USA",,"6,700 nationally",,
0,Cabela's,,"Chappell, Nebraska, U.S. (1961)","Sidney, Nebraska",Public,"19,300 (2014)",,
0,University of Arizona,,,,Public flagship research university,,,
0,In-N-Out Burger,,"October 22, 1948; 67 years ago (1948-10-22)
Baldwin Park, California, U.S.","Irvine, California",Private,,,
0,SRA International,,,"Falls Church, Virginia
(Fairfax mailing address)
United States",Public,"19,000+[2]",,
0,Tesla Motors,,July 2003; 13 years ago (2003-07),"Palo Alto, California, U.S.
37°23′39″N 122°09′00″W﻿ / ﻿37.394178°N 122.149866°W﻿ / 37.394178; -122.149866Coordinates: 37°23′39″N 122°09′00″W﻿ / ﻿37.394178°N 122.149866°W﻿ / 37.394178; -122.149866",Public,"13,058 (2015)[3]",,
0,LensCrafters,,1983,,,,,
0,Massachusetts General Hospital,,1811[3],,,,,
0,Gymboree,,1976,"San Francisco, California, US",Private,"9,500 (4,300 full-time equivalents)[3]",,
0,Sunrise Senior Living,,"1981; Arlington, VA","McLean, Virginia, United States of America",,,,
0,University of Utah,,,,"Public
Flagship
Space-grant",,,
0,WellPoint,,Anthem Insurance and WellPoint Health Networks merger in 2004,"Indianapolis, Indiana, United States",Public,"37,000+",,
0,MassMutual,,"Springfield, Massachusetts, USA (1851)","Springfield, Massachusetts, USA",Mutual company,,,
0,BAYADA Home Health Care,,"Philadelphia, Pennsylvania, United States (January 17, 1975 (1975-01-17))","Moorestown Township, New Jersey, United States",Private,"18,000+ (As of 2013[update])",,
0,ICF International,,1969,"Fairfax, Virginia",Public corporation,"More than 5,000 (2015)",,
0,Viacom,,"May 3, 1971; 45 years ago (1971-05-03) (originally)
December 31, 2005 (2005-12-31) (spin-off)","One Astor Plaza
Manhattan, New York City, New York, U.S.",Public subsidiary of National Amusements,"10,580 (2011)",,
0,P.F. Chang's,,"1993 (1993)
Scottsdale, Arizona, U.S.","7676 E. Pinnacle Peak Road
Scottsdale, Arizona, U.S. 85255",Private,,,
0,Men's Wearhouse,,1973,"Westchase, Houston, Texas",Public,,,
0,M&T Bank,,1856; 160 years ago (1856),"One M&T Plaza
Buffalo, New York
United States",Public,"17,476 (2015) [1]",,
0,American Apparel,,"1989 in Montreal, Canada","Los Angeles, California, U.S.",Public,"8,000 (September 2015)[1]",,
0,JetBlue,,August 1998 (1998-08),"Brewster Building, Long Island City, New York",,"18,000 [4]",,
0,Zimmer Biomet,,"Warsaw, Indiana, U.S. (1927)","Warsaw, Indiana, USA",,,,
0,Apollo Education Group,,1973,"Phoenix, Arizona, U.S.",Public,"44,000 (part and full-time) (August 2013)[1]",,
0,City Year,,1988,,,,,
0,Bayer,,1 August 1863; 153 years ago (1863-08-01)[1],"Leverkusen, Germany",Aktiengesellschaft,"116,800 (FTE, 2015)[2]",,
0,MITRE,,1958; 58 years ago (1958),"Bedford, MA and McLean, VA, United States",Not-for-profit corporation,"7,613[1]",,
0,UniFirst,,1936,"Wilmington, Massachusetts, United States",Public,"12,000",,
0,Denny's,,1953; 63 years ago (1953),"Spartanburg, South Carolina, U.S.",Public,,,
0,Tractor Supply,,1938,"Brentwood, Tennessee, United States",Public,"11,000 [4]",,
0,Dex Media,,2013,"Dallas, Texas, United States",Private,,,
0,Ryder System,,"1933 (1933) in Miami, United States","Miami, Florida",Public,,,
0,Freddie Mac,,1970; 46 years ago (1970),"Tysons Corner, Virginia, U.S.
(McLean mailing address)",Government-sponsored enterprise and public company,"4,957 (2014)[1]",,
0,Emory University,,,,Private,,,
0,Yale University,,,,Private,,,
0,Riverbed Technology,,"May 23, 2002","San Francisco, California, United States",Private,"2,556 (December, 2013)[1]",,
0,Interactive Intelligence,,1994,"Indianapolis, Indiana, USA",Public (NASDAQ: ININ),"Approx. 1,800 (2014)[2]",,
0,Circle K,,"El Paso, Texas (1951)","Tempe, Arizona, U.S.",Wholly owned subsidiary,,,
0,Huntington National Bank,,"1866,[1][2] P.W. Huntington[1][2]","Columbus, Ohio[1][2]",Public,"12,243 [1]",,
0,Home Instead Senior Care,,1994,"Omaha, Nebraska, US",Private,,,
0,University of Georgia,,,,"Public flagship university
Land-grant university
Regional Sun Grant university
National Sea Grant university",,,
0,George Washington University,,,,Private,,,
0,American Family Insurance,,1927,"Madison, Wisconsin, United States",Mutual,,,
0,Capital Group,,1931,"Los Angeles, California, United States",Private,"7,000+ (December 31, 2015)",,
0,Education Management Corporation,,1962 (1962),"Pittsburgh, Pennsylvania, United States",Public,"23,000[1]",,
0,Cinemark,,1984; 32 years ago (1984),"Plano, Texas",Public company,,,
0,Seagate Technology,,"1979; 37 years ago (1979)
(as Shugart Technology)","Cupertino, California, United States (operational), Dublin, Ireland (legal domicile)",Public limited company,"52,350 (2015)[1]",,
0,Banner Health,,1999,"Phoenix, Arizona, satellite administrative offices in Greeley, Colorado[1]",Non-profit organization,"39,000[1]",,
0,Tiffany & Co.,,"September 18, 1837; 178 years ago (1837-09-18) (as Tiffany, Young and Ellis)
1853 (1853) (as Tiffany & Company)","727 Fifth Avenue
New York City, New York, U.S. 10022",Public,"10,600 (2014)[4]",,
0,Netflix,,"August 29, 1997; 18 years ago (1997-08-29)[1]
Scotts Valley, California, U.S.","Los Gatos, California, United States",Public,"3,500 (2015)[2]",,
0,Ace Hardware,,"Chicago, Illinois, U.S. (1924 (1924))","Oak Brook, Illinois, U.S.",Retailers' cooperative,"~86,000 (2015)[1]",,
0,Teavana,,"In 1997 at Phipps Plaza in Atlanta, Georgia.","2987 Clairmont Road NE, Suite 300, Atlanta, Georgia 30329, United States",Subsidiary,5000+,,
0,Sally Beauty,,1964 (spin-off from Alberto-Culver),"Denton, Texas",Public (spin-off),,,
0,Enterprise Holdings,,February 1957; 59 years ago (1957-02) (as Executive Leasing),"Clayton, Missouri, U.S.",Private holding company,"93,000 (2015)",,
0,The World Bank,,,,International organization,,,
0,Acxiom,,"Conway, Arkansas (1969)","Little Rock, Arkansas, United States",Public,"4,320 (2015-03-31)",,
0,Ashford University,,,,For-profit (NYSE: BPI),,,
0,DialAmerica,,1957,"Mahwah, New Jersey, U.S.",Private,"5,000[1]",,
0,Pharmaceutical Product Development,,1985,"Wilmington, North Carolina, United States",Private,"16,000 (2016)",,
0,White House Black Market,,1985,"Fort Myers, Florida",Public,,,
0,St. Jude Medical,,"Saint Paul, Minnesota, 1976","Little Canada, Minnesota",Publicly traded,"18,000[2]",,
0,Cold Stone Creamery,,"Tempe, Arizona (1988)","Scottsdale, Arizona, US",Wholly owned subsidiary,,,
0,Mondelez International,,"2012 (2012)
Chicago, Illinois, United States","Deerfield, Illinois, United States",Public,,,
0,Regus,,"1989, Brussels, Belgium","Saint Helier, Jersey (Registered Office)
Luxembourg City, Luxembourg (Head Office)",Public,"8,700 (2015)[2]",,
0,Wayfair,,2002,"Boston, Massachusetts, USA",Public,,,
0,Avanade,,"April 4, 2000","Seattle, Washington",Private,"29,000",,
0,Sogeti,,2002 (as independent company),"Paris, France",,,,
0,Kronos Incorporated,,"October 31, 1977 (1977-10-31)","Chelmsford, Massachusetts, United States",Private,"4,500 (2016)",,
0,Estée Lauder Companies,,"New York City, New York, United States (1946)","General Motors Building
New York City, New York, United States",Public,"44,000",,
0,Five Guys Burgers & Fries,,"1986; 30 years ago (1986)
Arlington, Virginia, U.S.","Lorton, Virginia, U.S.",Private,,,
0,AutoNation,,1996; 20 years ago (1996),"Fort Lauderdale, Florida, United States",Public,,,
0,UC Irvine,,,,"Land-grant
Public research university",,,
0,Crate and Barrel,,"Chicago, Illinois, USA 1962 (1962)","Northbrook, Illinois, USA",Subsidiary,,,
0,Regis Corporation,,"Minneapolis, Minnesota, United States (1922)","Minneapolis, Minnesota, United States",Public,"50,000 stylists (2014)",,
0,Hampton Inn,,1984; 32 years ago (1984),"Memphis, TN, U.S.",Franchise,,,
0,Container Store,,"Dallas, Texas (1978)","Coppell, Texas",Public,"4,281 [3]",,
0,Electronic Data Systems,Acquired by HP,"June 27, 1962
as Electronic Data Systems","Plano, Texas, USA",,"136,000",,"September 23, 2009"
0,Freescale Semiconductor,Acquired by NXP Semiconductors,Spin-off from Motorola in 2004,"Austin, Texas, USA",,"17,300 (2013)[1]",,"December 7, 2015 (December 7, 2015)"
0,Maurices,,1931,"Duluth, Minnesota, USA",Subsidiary,,,
0,Gold's Gym,,"August 25, 1965; 50 years ago (1965-08-25)
Venice Beach, Los Angeles, California, U.S.","Dallas, Texas, U.S.",Private[1],,,
0,Mayo Clinic,,"Rochester, Minnesota, United States 1889; 127 years ago (1889)","Rochester, Minnesota, United States",Non-profit organization,"64,000",,
0,CareFusion,,2009,"San Diego, CA U.S.",Subsidiary of Becton Dickinson,"15,000 (2012)",,
0,Vivint,,1997 (as APX Alarm Security Solutions Inc.),"Provo, Utah",Private,7000,,
0,Rockwell Automation,,,"Milwaukee, Wisconsin, U.S.A.",Public,"About 22,500 (2014)",,
0,ConocoPhillips,,"1875; 141 years ago (1875) (as Continental Oil and Transportation Co.)
August 30, 2002 (2002-08-30) (as ConocoPhillips Co.)[1]","Houston Energy Corridor,
Houston, Texas, U.S.",Public,15.900 (2016)[2],,
0,Republic Services,,1998,"Phoenix, AZ",Public,"33,000 (2015)[4]",,
0,AstraZeneca,,"April 6, 1999; 17 years ago (1999-04-06)","London, United Kingdom",Public limited company,"50,000 (2014)[3]",,
0,BASF Corporation,,1865; 151 years ago (1865),"Ludwigshafen, Germany",Societas Europaea,"112,435 (end 2015)[1]",,
0,The Advisory Board Company,,1979,"Washington, DC, United States",Public,"3,400",,
0,Flextronics,,"1969; 47 years ago (1969) (as Flextronics, Inc.)","San Jose, California, U.S.",Public,,,
0,Hot Topic,,1988 by Orv Madden,"Industry, California, USA",Private,,,
0,Schwan's,,1952,"Marshall, Minnesota, USA",Private,"14,000",,
0,Novartis Pharmaceuticals,,"1996; 20 years ago (1996)
(from merger)","Basel, Switzerland",Public company AG,"118,700 (2015)[1]",,
0,GLOBALFOUNDRIES,,"March 2, 2009; 7 years ago (2009-03-02)","Santa Clara, California, U.S.",Subsidiary,"18,000[2]",,
0,Allscripts,,"1982 (as Medic Computer Systems)
1986 (as Allscripts)","Chicago, Illinois",Public,6000+,,
0,Lord & Taylor,,1826 (1826),"New York, NY, United States",Subsidiary,,,
0,Discovery Communications,,"1985; 31 years ago (1985) as The Discovery Channel
1994; 22 years ago (1994) as Discovery Communications","Silver Spring, Maryland, U.S.",Public,"7,000 (2015)",,
0,Biogen,,1978 (from merger),"Cambridge, Massachusetts, U.S.",Public,"7,550 (December 2014)[1]",,
0,Time Inc.,,"November 28, 1922; 93 years ago (1922-11-28)","225 Liberty Street, New York City, New York, United States",Public,"7,200 (2016)[1]",,
0,Omni Hotels,,1958,"Dallas, Texas",Private,,,
0,Sterling Jewelers,,1910; 106 years ago (1910),"Akron, Ohio, U.S.",Subsidiary,,,
0,Community Health Systems,,1985,"Franklin, Tennessee, United States",Public,"135,000",,
0,Ritz-Carlton,,1983 (1983),"Chevy Chase, Maryland, United States",Subsidiary of Marriott International,"35,000 (2016)",,
0,Bass Pro Shops,,1971,"Springfield, Missouri",Private,"over 20,000(2014)",,
0,Von Maur,,1872,"Davenport, Iowa, U.S.",Private/Department store,,,
0,Postmates,,"May 1, 2011 (2011-05-01)","San Francisco, California, United States",Private,,,
0,Iron Mountain Inc,,1951; 65 years ago (1951),"Boston, Massachusetts, USA","Public
S&P 500 Component","19,000+",,
0,Ceridian,,1992,"Bloomington, Minnesota, USA",Private,"7,000+ (2013) [2]",,
0,Jack in the Box,,"February 21, 1951; 65 years ago (1951-02-21)","San Diego, California, U.S.",Public (NASDAQ: JACK),">22,000 (2013)[3]",,
0,University of Missouri,,,,"Flagship state university
Land-grant",,,
0,Bechtel,,1898,"Blue Shield of California Building
San Francisco, California, U.S.",Privately held company,"53,000 (2015)[1]",,
0,Vitamin Shoppe,,1977,"North Bergen, New Jersey, United States[1]",Public (60% privately owned),,,
0,Walmart,,"


July 2, 1962; 54 years ago (1962-07-02)
Rogers, Arkansas, U.S.


","Bentonville, Arkansas, U.S.",Public,"


2.3 million in the World (2016),
1.4 million in U.S. (2016)[4]


",,
0,Bank of America,,"October 17, 1904; 111 years ago (1904-10-17) (as Bank of Italy)
February 1930; 86 years ago (1930-02) (as Bank of America)[1][2]
1998; 18 years ago (1998) (current)","Charlotte, North Carolina, United States",Public,"210,516 (2016)[3]",,
0,AT&T,,"October 5, 1983; 32 years ago (1983-10-05)[1]","Dallas, Texas, United States",Public,"243,620 (2015)[3]",,
0,IBM,,"June 16, 1911; 105 years ago (1911-06-16)
Endicott, New York, U.S.[1]","Armonk, New York, U.S.",Public,"377,757 (2015)[4]",,
0,Best Buy,,"October 20, 1966; 49 years ago (1966-10-20) (as Sound of Music)
1983 (1983) (as Best Buy)
West St. Paul, Minnesota, U.S.","Richfield, Minnesota, United States",Public," 125,000 (2016)",,
0,The Home Depot,,"1978; 38 years ago (1978)
Marietta, Georgia, United States","Unincorporated Cobb County, Georgia, 30339 United States",Public,"371,000 (2015)[3]",,
0,Macy's,,"October 28, 1858; 157 years ago (1858-10-28)
New York, New York, U.S.","Cincinnati, Ohio, U.S.",Subsidiary,,,
0,Walmart,,"


July 2, 1962; 54 years ago (1962-07-02)
Rogers, Arkansas, U.S.


","Bentonville, Arkansas, U.S.",Public,"


2.3 million in the World (2016),
1.4 million in U.S. (2016)[4]


",,
0,Bank of America,,"October 17, 1904; 111 years ago (1904-10-17) (as Bank of Italy)
February 1930; 86 years ago (1930-02) (as Bank of America)[1][2]
1998; 18 years ago (1998) (current)","Charlotte, North Carolina, United States",Public,"210,516 (2016)[3]",,
0,AT&T,,"October 5, 1983; 32 years ago (1983-10-05)[1]","Dallas, Texas, United States",Public,"243,620 (2015)[3]",,
